Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Discount,Profit
Second Class,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,261.96,0.0,41.9136
Second Class,Consumer,Henderson,Kentucky,South,Furniture,Chairs,731.94,0.0,219.582
Second Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62,0.0,6.8714
Standard Class,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,0.45,-383.031
Standard Class,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368000000000002,0.2,2.5164
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,48.86,0.0,14.1694
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,7.28,0.0,1.9656
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,907.1519999999999,0.2,90.7152
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,18.504,0.2,5.7825
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,114.9,0.0,34.47
Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,1706.184,0.2,85.3092
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,911.424,0.2,68.3568
Standard Class,Consumer,Concord,North Carolina,South,Office Supplies,Paper,15.552,0.2,5.4432
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.976,0.2,132.5922
Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,0.8,-123.85799999999999
Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,0.8,-3.8160000000000003
Standard Class,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,0.0,13.3176
Second Class,Consumer,West Jordan,Utah,West,Office Supplies,Storage,55.5,0.0,9.99
Second Class,Consumer,San Francisco,California,West,Office Supplies,Art,8.56,0.0,2.4824
Second Class,Consumer,San Francisco,California,West,Technology,Phones,213.48,0.2,16.011
Second Class,Consumer,San Francisco,California,West,Office Supplies,Binders,22.72,0.2,7.3839999999999995
Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,19.46,0.0,5.0596
Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34,0.0,15.6884
Second Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372,0.3,-1.0196
Standard Class,Consumer,Orem,Utah,West,Furniture,Tables,1044.63,0.0,240.2649
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.648,0.2,4.2224
Second Class,Consumer,Los Angeles,California,West,Technology,Accessories,90.57,0.0,11.7741
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43,0.5,-1665.0522
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.618,0.7,-7.0532
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,0.2,15.525
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.264,0.2,1.1016
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.304,0.2,9.7092
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.858,0.7,-5.715
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.76,0.2,3.5460000000000003
Second Class,Home Office,Houston,Texas,Central,Office Supplies,Paper,29.471999999999998,0.2,9.9468
